1,2,3,4,5,6,7,num
23,Wrongful gain,"“Wrongful gain” is gain by unlawful means of property to which the person
gaining is not legally entitled.
“Wrongful loss”.—“Wrongful loss” is the loss by unlawful means of property to which the person
losing it is legally entitled.
Gaining wrongfully/Losing wrongfully.—A person is said to gain wrongfully when such person
retains wrongfully, as well as when such person acquires wrongfully. A person is said to lose wrongfully
when such person is wrongfully kept out of any property, as well as when such person is wrongfully
deprived of property.",,,,,11
24,Dishonestly,"Whoever does anything with the intention of causing wrongful gain to one
person or wrongful loss to another person, is said to do that thing “dishonestly”.",,,,,12
25,Fraudulently,"A person is said to do a thing fraudulently if he does that thing with intent to
defraud but not otherwise.",,,,,13
26,Reason to believe,"A person is said to have “reason to believe” a thing, if he has sufficient
cause to believe that thing but not otherwise.",,,,,14
34,Acts done by several persons in furtherance of common intention.,"When a criminal act is
done by several persons in furtherance of the common intention of all, each of such persons is liable for
that act in the same manner as if it were done by him alone.",,,,,15
35," When such an act is criminal by reason of its being done with a criminal knowledge or
intention","Whenever an act, which is criminal only by reason of its being done with a criminal
knowledge or intention, is done by several persons, each of such persons who joins in the act with such
knowledge or intention is liable for the act in the same manner as if the act were done by him alone with
that knowledge or intention.",,,,,16
36, Effect caused partly by act and partly by omission.,"Wherever the causing of a certain effect,
or an attempt to cause that effect, by an act or by an omission, is an offence, it is to be understood that the
causing of that effect partly by an act and partly by an omission is the same offence.",,,,,17
37,Co-operation by doing one of several acts constituting an offence,"When an offence is
committed by means of several acts, whoever intentionally co-operates in the commission of that offence
by doing any one of those acts, either singly or jointly with any other person, commits that offence.",,,,,18
38,Persons concerned in criminal act may be guilty of different offences.,"Where several
persons are engaged or concerned in the commission of a criminal act, they may be guilty of different
offences by means of that act.",,,,,19
39,Voluntarily,"A person is said to cause an effect “voluntarily” when he causes it by means
whereby he intended to cause it, or by means which, at the time of employing those means, he knew or
had reason to believe to be likely to cause it.",,,,,20
52,Good faith,"Nothing is said to be done or believed in “good faith” which is done or believed
without due care and attention.",,,,,21
52A,“Harbour”,"Except in section 157, and in section 130 in the case in which the harbour is
given by the wife or husband of the person harboured, the word “harbour” includes the supplying a person
with shelter, food, drink, money, clothes, arms, ammunition or means of conveyance, or the assisting a
person by any means, whether of the same kind as those enumerated in this section or not, to evade
apprehension.]",,,,,22
53,Punishments,"The punishments to which offenders are liable under the provisions of this Code
are—
First.—Death;
2[Secondly.—Imprisonment for life;]
3* * * * *
Fourthly.—Imprisonment, which is of two descriptions, namely:—
(1) Rigorous, that is, with hard labour;
(2) Simple;
Fifthly.—Forfeiture of property;
Sixthly.—Fine.",,,,,23
53A,Construction of reference to transportation.,"(1) Subject to the provisions of
sub-section (2) and sub-section (3), any reference to “transportation for life” in any other law for the time
being in force or in any instrument or order having effect by virtue of any such law or of any enactment
repealed shall be construed as a reference to “imprisonment for life”.
(2) In every case in which a sentence of transportation for a term has been passed before the
commencement of the Code of Criminal Procedure (Amendment) Act, 5
[1955 (26 of 1955)], the offender
shall be dealt with in the same manner as if sentenced to rigorous imprisonment for the same term.
(3) Any reference to transportation for a term or to transportation for any shorter term (by whatever
name called) in any other law for the time being in force shall be deemed to have been omitted.
(4) Any reference to “transportation” in any other law for the time being in force shall,—
(a) if the expression means transportation for life, be construed as a reference to imprisonment for
life;
(b) if the expression means transportation for any shorter term, be deemed to have been omitted.]",,,,,24
54,Commutation of sentence of death,"In every case in which sentence of death shall have been
passed, 6
[the appropriate Government] may, without the consent of the offender, commute the punishment
punishment for any other punishment provided by this Code.",,,,,25
55,Commutation of sentence of imprisonment for life,"In every case in which sentence of
7
[imprisonment] for life shall have been passed, 8
[the appropriate Government] may, without the consent consent of the offender, commute the punishment for imprisonment of either description for a term not
exceeding fourteen years.",,,,,26
55A,Definition of “appropriate Government”,"In sections fifty-four and fifty-five the
expression “appropriate Government” means,—
(a) in cases where the sentence is a sentence of death or is for an offence against any law relating
to a matter to which the executive power of the Union extends, the Central Government; and
(b) in cases where the sentence (whether of death or not) is for an offence against any law relating
to a matter to which the executive power of the State extends, the Government of the State within
which the offender is sentenced.]",,,,,27
56,,,,,,,28
57, Fractions of terms of punishment.—,"—In calculating fractions of terms of punishment,
2
[imprisonment] for life shall be reckoned as equivalent to2
[imprisonment] for twenty years.",,,,,29
58,,,,,,,30
59,,,,,,,31
60,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple,"—In
every case in which an offender is punishable with imprisonment which may be of either description, it
shall be competent to the Court which sentences such offender to direct in the sentence that such
imprisonment shall be wholly rigorous, or that such imprisonment shall be wholly simple, or that any part
of such imprisonment shall be rigorous and the rest simple.",,,,,32
61,,,,,,,33
62,,,,,,,34
63,Amount of fine,"—Where no sum is expressed to which a fine may extend, the amount of fine to
which the offender is liable is unlimited, but shall not be excessive.
",,,,,35
64,Sentence of imprisonment for non-payment of fine,"
[In every case of an offence punishable
with imprisonment as well as fine, in which the offender is sentenced to a fine, whether with or without
imprisonment,
and in every case of an offence punishable 4
[with imprisonment or fine, or] with fine only, in which
the offender is sentenced to a fine.]
it shall be competent to the Court which sentences such offender to direct by the sentence that, in
default of payment of the fine, the offender shall suffer imprisonment for a certain term, which
imprisonment shall be in excess of any other imprisonment to which he may have been sentenced or to
which he may be liable under a commutation of a sentence.",,,,,36
65," Limit to imprisonment for non-payment of fine, when imprisonment and fine awardable","The term for which the Court directs the offender to be imprisoned in default of payment of a fine shall
not exceed one-fourth of the term of imprisonment which is the maximum fixed for the offence, if the
offence be punishable with imprisonment as well as fine.
",,,,,37
66,Description of imprisonment for non-payment of fine,—The imprisonment which the Court imposes in default of payment of a fine may be of any description to which the offender might have been sentenced for the offence,,,,,38
67,"Imprisonment for non-payment of fine, when offence punishable with fine only","—If the offence be punishable with fine only, 1 [the imprisonment which the Court imposes in default of payment of the fine shall be simple, and] the term for which the Court directs the offender to be imprisoned, in default of payment of fine, shall not exceed the following scale, that is to say, for any term not exceeding two months when the amount of the fine shall not exceed fifty rupees, and for any term not exceeding four months when the amount shall not exceed one hundred rupees, and for any term not exceeding six months in any other case.",,,,,39
68,Imprisonment to terminate on payment of fine,"—The imprisonment which is imposed in
default of payment of a fine shall terminate whenever that fine is either paid or levied by process of law.",,,,,40
69,Termination of imprisonment on payment of proportional part of fine,"—If, before the
expiration of the term of imprisonment fixed in default of payment, such a proportion of the fine be paid
or levied that the term of imprisonment suffered in default of payment is not less than proportional to the
part of the fine still unpaid, the imprisonment shall terminate",,,,,41
70,"Fine leviable within six years, of during imprisonment. Death not to discharge property
from liability","The fine, or any part thereof which remains unpaid, may be levied at any time within six
years after the passing of the sentence, and if, under the sentence, the offender be liable to imprisonment
for a longer period than six years, then at any time previous to the expiration of that period; and the death
of the offender does not discharge from the liability any property which would, after his death, be legally
liable for his debts.",,,,,42
71,Limit of punishment of offence made up of several offences,"Where anything which is an
offence is made up of parts, any of which parts is itself an offence, the offender shall not be punished with
the punishment of more than one of such his offences, unless it be so expressly provided.
2
[Where anything is an offence falling within two or more separate definitions of any law in force for
the time being by which offences are defined or punished, or
where several acts, of which one or more than one would by itself or themselves constitute an
offence, constitute, when combined, a different offence,
the offender shall not be punished with a more severe punishment than the Court which tries him
could award for any one of such offences].
",,,,,43
72,"Punishment of person guilty of one of several offences, the judgment stating that it is
doubtful of which.—","—In all cases in which judgment is given that a person is guilty of one of several
offences specified in the judgment, but that it is doubtful of which of these offences he is guilty, the
offender shall be punished for the offence for which the lowest punishment is provided if the same
punishment is not provided for all.",,,,,44
73,Solitary confinement,"Whenever any person is convicted of an offence for which under this
Code the Court has power to sentence him to rigorous imprisonment, the Court may, by its sentence,
order that the offender shall be kept in solitary confinement for any portion or portions of the
imprisonment to which he is sentenced, not exceeding three months in the whole, according to the
following scale, that is to say—
a time not exceeding one month if the term of imprisonment shall not exceed six months;
a time not exceeding two months if the term of imprisonment shall exceed six months and1[shall not
exceed one] year
a time not exceeding three months if the term of imprisonment shall exceed one year.",,,,,45
74,Limit of solitary confinement,"In executing a sentence of solitary confinement, such
confinement shall in no case exceed fourteen days at a time, with intervals between the periods of solitary
confinement of not less duration than such periods; and when the imprisonment awarded shall exceed
three months, the solitary confinement shall not exceed seven days in any one month of the whole
imprisonment awarded, with intervals between the periods of solitary confinement of not less duration
than such periods.",,,,,46
75,"Enhanced punishment for certain offences under Chapter XII or Chapter XVII after
previous conviction.",,,,,,47
76,"Act done by a person bound, or by mistake of fact believing himself bound, by law","Nothing is an offence which is done by a person who is, or who by reason of a mistake of fact and not by
reason of a mistake of law in good faith believes himself to be, bound by law to do it.",Were you instructed by a senior officer to do it?,Did you feel u were bound by law to do it ?,,,48
77,Act of Judge when acting judicially,"Nothing is an offence which is done by a Judge when
acting judicially in the exercise of any power which is, or which in good faith he believes to be, given to
him by law.",,,,,49
78,Act done pursuant to the judgment or order of Court,"Nothing which is done in pursuance
of, or which is warranted by the judgment or order of, a Court of Justice; if done whilst such judgment or
order remains in force, is an offence, notwithstanding the Court may have had no jurisdiction to pass such
judgment or order, provided the person doing the act in good faith believes that the Court had such
jurisdiction.",,,,,50
79,"Act done by a person justified, or by mistake of fact believing himself, justified, by law.—","Nothing is an offence which is done by any person who is justified by law, or who by reason of a mistake
of fact and not by reason of a mistake of law in good faith, believes himself to be justified by law, in
doing it.",,,,,51
80,Accident in doing a lawful act.,"Nothing is an offence which is done by accident or misfortune,
and without any criminal intention or knowledge in the doing of a lawful act in a lawful manner by lawful
means and with proper care and caution.",,,,,52
81,"Act likely to cause harm, but done without criminal intent, and to prevent other harm","Nothing is an offence merely by reason of its being done with the knowledge that it is likely to cause
harm, if it be done without any criminal intention to cause harm, and in good faith for the purpose of
preventing or avoiding other harm to person or property.
Explanation.—It is a question of fact in such a case whether the harm to be prevented or avoided was
of such a nature and so imminent as to justify or excuse the risk of doing the act with the knowledge that
it was likely to cause harm.",,,,,53
82,Act of a child under seven years of age,"Nothing is an offence which is done by a child under
seven years of age.",,,,,54
83,Act of a child above seven and under twelve of immature understanding,"Nothing is an
offence which is done by a child above seven years of age and under twelve, who has not attained
sufficient maturity of understanding to judge of the nature and consequences of his conduct on that
occasion.",,,,,55
84,Act of a person of unsound mind.—,"Nothing is an offence which is done by a person who, at the
time of doing it, by reason of unsoundness of mind, is incapable of knowing the nature of the act, or that
he is doing what is either wrong or contrary to law.",,,,,56
85,. Act of a person incapable of judgment by reason of intoxication caused against his will,"Nothing is an offence which is done by a person who, at the time of doing it, is, by reason of intoxication,
incapable of knowing the nature of the act, or that he is doing what is either wrong, or contrary to
law: provided that the thing which intoxicated him was administered to him without his knowledge or
against his will.",,,,,57
86,Offence requiring a particular intent or knowledge committed by one who is intoxicated,"In cases where an act done is not an offence unless done with a particular knowledge or intent, a person
who does the act in a state of intoxication shall be liable to be dealt with as if he had the same knowledge
as he would have had if he had not been intoxicated, unless the thing which intoxicated him was
administered to him without his knowledge or against his will.",,,,,58
87,"Act not intended and not known to be likely to cause death or grievous hurt, done by
consent","Nothing which is not intended to cause death, or grievous hurt, and which is not known by the
doer to be likely to cause death or grievous hurt, is an offence by reason of any harm which it may cause,
or be intended by the doer to cause, to any person, above eighteen years of age, who has given consent,
whether express or implied, to suffer that harm; or by reason of any harm which it may be known by the
doer to be likely to cause to any such person who has consented to take the risk of that harm.
Illustration
A and Z agree to fence with each other for amusement. This agreement implies the consent of each to suffer any harm
which, in the course of such fencing, may be caused without foul play; and if A, while playing fairly, hurts Z, A commits no
offence.",,,,,59
88,"Act not intended to cause death, done by consent in good faith for person's benefit","Nothing, which is not intented to cause death, is an offence by reason of any harm which it may cause, or
be intended by the doer to cause, or be known by the doer to be likely to cause, to any person for whose
benefit it is done in good faith, and who has given a consent, whether express or implied, to suffer that
harm, or to take the risk of that harm.
Illustration
A, a surgeon, knowing that a particular operation is likely to cause the death of Z, who suffers under the painful complaint,
but not intending to cause Z's death, and intending, in good faith, Z's benefit, performs that operation on Z, with Z's consent. A
has committed no offence",,,,,60
89,"Act done in good faith for benefit of child or insane person, by or by consent of guardian","Nothing which is done in good faith for the benefit of a person under twelve years of age, or of unsound
mind, by or by consent, either express or implied, of the guardian or other person having lawful charge of
that person, is an offence by reason of any harm which it may cause, or be intended by the doer to cause
or be known by the doer to be likely to cause to that person: Provided—
Provisos. First.—That this exception shall not extend to the intentional causing of death, or to the
attempting to cause death;
Secondly.—That this exception shall not extend to the doing of anything which the person doing
it knows to be likely to cause death, for any purpose other than the preventing of death or grievous
hurt, or the curing of any grievous disease or infirmity;
Thirdly.—That this exception shall not extend to the voluntary causing of grievous hurt, or to the
attempting to cause grievous hurt, unless it be for the purpose of preventing death or grievous hurt, or
the curing of any grievous disease or infirmity;
Fourthly.—That this exception shall not extend to the abetment of any offence, to the committing
of which offence it would not extend.
Illustration
A, in good faith, for his child's benefit without his child's consent, has his child cut for the stone by a surgeon knowing it to
be likely that the operation will cause the child's death, but not intending to cause the child's death. A is within the exception,
inasmuch as his object was the cure of the child.",,,,,61
90,Consent known to be given under fear or misconception,"A consent is not such a consent as
is intended by any section of this Code, if the consent is given by a person under fear of injury, or under a
misconception of fact, and if the person doing the act knows, or has reason to believe, that the consent
was given in consequence of such fear or misconception; or
Consent of insane person.—if the consent is given by a person who, from unsoundness of mind, or
intoxication, is unable to understand the nature and consequence of that to which he gives his consent; or
Consent of child.—unless the contrary appears from the context, if the consent is given by a person
who is under twelve years of age.",was the consent given by child ,,,,62
91,Exclusion of acts which are offences independently of harm cause,"The exceptions in
sections 87, 88 and 89 do not extend to acts which are offences independently of any harm which they
may cause, or be intended to cause, or be known to be likely to cause, to the person giving the consent, or
on whose behalf the consent is given.
Illustration
Causing miscarriage (unless caused in good faith for the purpose of saving the life of the woman) is offence independently
of any harm which it may cause or be intended to cause to the woman. Therefore, it is not an offence “by reason of such harm”;
and the consent of the woman or of her guardian to the causing of such miscarriage does not justify the act.",,,,,63
92,Act done in good faith for benefit of a person without consent,"Nothing is an offence by
reason of any harm which it may cause to a person for whose benefit it is done in good faith, even without
that person's consent, if the circumstances are such that it is impossible for that person to signify consent,
or if that person is incapable of giving consent, and has no guardian or other person in lawful charge of
him from whom it is possible to obtain consent in time for the thing to be done with benefit: Provided—
Provisos. First.—That this exception shall not extend to the intentional causing of death, or the
attempting to cause death;
Secondly.—That this exception shall not extend to the doing of anything which the person doing it
knows to be likely to cause death, for any purpose other than the preventing of death or grievous hurt, or
the curing of any grievous disease or infirmity;
Thirdly.—That this exception shall not extend to the voluntary causing of hurt, or to the attempting to
cause hurt, for any purpose other than the preventing of death or hurt;
Fourthly.—That this exception shall not extend to the abetment of any offence, to the committing of
which offence it would not extend.
Illustrations
(a) Z is thrown from his horse, and is insensible. A, a surgeon, finds that Z requires to be trepanned. A, not intending Z's
death, but in good faith, for Z's benefit, performs the trepan before Z recovers his power of judging for himself. A has committed
no offence.
(b) Z is carried off by a tiger. A fires at the tiger knowing it to be likely that the shot may kill Z, but not intending to kill Z,
and in good faith intending Z's benefit. A's ball gives Z a mortal wound. A has committed no offence.
(c) A, a surgeon, sees a child suffer an accident which is likely to prove fatal unless an operation be immediately performed.
There is not time to apply to the child's guardian. A performs the operation in spite of the entreaties of the child, intending, in
good faith, the child's benefit. A has committed no offence.
(d) A is in a house which is on fire, with Z, a child. People below hold out a blanket. A drops the child from the housestop,
knowing it to be likely that the fall may kill the child, but not intending to kill the child, and intending, in good faith, the child's
benefit. Here, even if the child is killed by the fall, A has committed no offence.
Explanation.—Mere pecuniary benefit is not benefit within the meaning of sections 88, 89 and 92.",,,,,64
93,Communication made in good faith,"No communication made in good faith is an offence by
reason of any harm to the person to whom it is made, if it is made for the benefit of that person.
Illustration
A, a surgeon, in good faith, communicates to a patient his opinion that he cannot live. The patient dies in consequence of the
shock. A has committed no offence, though he knew it to be likely that the communication might cause the patient's death.",,,,,65
94,Act to which a person is compelled by threats,"Except murder, and offences against the State
punishable with death, nothing is an offence which is done by a person who is compelled to do it by
threats, which, at the time of doing it, reasonably cause the apprehension that instant death to that person
will otherwise be the consequence: Provided the person doing the act did not of his own accord, or from a
reasonable apprehension of harm to himself short of instant death, place himself in the situation by which
he became subject to such constraint.
Explanation 1.—A person who, of his own accord, or by reason of a threat of being beaten, joins a
gang of dacoits, knowing their character, is not entitled to the benefit of this exception, on the ground of
his having been compelled by his associates to do anything that is an offence by law.
Explanation 2.—A person seized by a gang of dacoits, and forced, by threat of instant death, to do a
thing which is an offence by law; for example, a smith compelled to take his tools and to force the door of
a house for the dacoits to enter and plunder it, is entitled to the benefit of this exception.",,,,,66
95,Act causing slight harm,"Nothing is an offence by reason that it causes, or that it is intended to
cause, or that it is known to be likely to cause, any harm, if that harm is so slight that no person of
ordinary sense and temper would complain of such harm.
Of the Right of Private Defence",,,,,67
96,Things done in private defence,"Nothing is an offence which is done in the exercise of the
right of private defence.",,,,,68
97,Right of private defence of the body and of property,"Every person has a right, subject to the
restrictions contained in section 99, to defend—
First.—His own body, and the body of any other person, against any offence affecting the human
body;
Secondly.—The property, whether movable or immovable, of himself or of any other person, against
any act which is an offence falling under the defintion of theft, robbery, mischief or criminal trespass, or
which is an attempt to commit theft, robbery, mischief or criminal trespass.",1. Was there a serious death threat or grievous hurt threat?," was the accused falling under the definition of theft , robbery, mischief, or criminal trespass?", was there an immediate need for personal defence.,,69
98,"Right of private defence against the act of a person of unsound mind, etc","When an act,
which would otherwise be a certain offence, is not that offence, by reason of the youth, the want of
maturity of understanding, the unsoundness of mind or the intoxication of the person doing that act, or by
reason of any misconception on the part of that person, every person has the same right of private defence
against that act which he would have if the act were that offence.
Illustrations
(a) Z, under the influence of madness, attempts to kill A; Z is guilty of no offence. But A has the same right of private
defence which he would have if Z were sane.
(b) A enters by night a house which he is legally entitled to enter. Z, in good faith, taking A for a house-breaker, attacks A.
Here Z, by attacking A under this misconception, commits no offence. But A has the same right of private defence against Z,
which he would have if Z were not acting under that misconception.",1. Was there a serious death threat or grievous hurt threat?,Was the accused of sane mind?,Did the accused intentionally commit the crime?,was there an immediate need for personal defence.,70
99,Acts against which there is no right of private defence.,"There is no right of private defence
against an act which does not reasonably cause the apprehension of death or of grievous hurt, if done, or
attempted to be done, by a public servant acting in good faith under colour of his office, though that act,
may not be strictly justifiable by law.
There is no right of private defence against an act which does not reasonably cause the apprehension
of death or of grievous hurt, if done, or attempted to be done, by the direction of a public servant acting in
good faith under colour of his office, though that direction may not be strictly justifiable by law.
There is no right of private defence in cases in which there is time to have recourse to protection of
the public authorities.
Extent to which the right may be exercised.—The right of private defence in no case extends to the
inflicting of more harm than it is necessary to inflict for the purpose of defence.
Explanation 1.—A person is not deprived of the right of private defence against an act done, or
attempted to be done, by a public servant, as such, unless he knows or has reason to believe, that the
person doing the act is such public servant.
Explanation 2.—A person is not deprived of the right of private defence against an act done, or
attempted to be done, by the direction of a public servant, unless he knows, or has reason to believe, that
the person doing the act is acting by such direction, or unless such person states the authority under which
he acts, or if he has authority in writing, unless he produces such authority, if demanded.",1. Was there a serious death threat or grievous hurt threat?, was there an immediate need for personal defence.,,,71
100,When the right of private defence of the body extends to causing death,"The right of
private defence of the body extends, under the restrictions mentioned in the last preceding section, to the
voluntary causing of death or of any other harm to the assailant, if the offence which occasions the
exercise of the right be of any of the descriptions hereinafter enumerated, namely:—
First.—Such an assault as may reasonably cause the apprehension that death will otherwise be the
consequence of such assault;
Secondly.—Such an assault as may reasonably cause the apprehension that grievous hurt will
otherwise be the consequence of such assault;
Thirdly.—An assault with the intention of committing rape;
Fourthly.—An assault with the intention of gratifying unnatural lust;
Fifthly.—An assault with the intention of kidnapping or abducting;
Sixthly.—An assault with the intention of wrongfully confining a person, under circumstances which
may reasonably cause him to apprehend that he will be unable to have recourse to the public authorities
for his release.
1[Seventhly.—An act of throwing or administering acid or an attempt to throw or administer acid
which may reasonably cause the apprehension that grievous hurt will otherwise be the consequence of
such act.]", Were you entitle to one of the following:1. death would've been an otherwise consequence. 2. Grievous hurt would have been an otherwise consequence. 3. Accused had an intention of committing rape. 4. Accused had an intention of kidnapping 5. the accused did o intended to throw acid,was there an immediate need for personal defence.,,,72
101,When such right extends to causing any harm other than death,"If the offence be not of
any of the descriptions enumerated in the last preceding section, the right of private defence of the body
does not extend to the voluntary causing of death to the assailant, but does extend, under the restrictions
mentioned in section 99, to the voluntary causing to the assailant of any harm other than death.",1. Was there a serious death threat or grievous hurt threat?, was there an immediate need for personal defence.,,,73
102,Commencement and continuance of the right of private defence of the body,"The right of
private defence of the body commences as soon as a reasonable apprehension of danger to the body arises
from an attempt or threat to commit the offence though the offence may not have been committed; and it
continues as long as such apprehension of danger to the body continues.",,,,,74
103,When the right of private defence of property extends to causing death,"The right of
private defence of property extends, under the restrictions mentioned in section 99, to the voluntary
causing of death or of any other harm to the wrong-doer, if the offence, the committing of which, or the
attempting to commit which, occasions the exercise of the right, be an offence of any of the descriptions
hereinafter enumerated, namely:—
First.—Robbery;
Secondly.—House-breaking by night;
Thirdly.—Mischief by fire committed on any building, tent or vessel, which building, tent or vessel is
used as a human dwelling, or as a place for the custody of property;
Fourthly.—Theft, mischief, or house-trespass, under such circumstances as may reasonably cause
apprehension that death or grievous hurt will be the consequence, if such right of private defence is not
exercised."," Did the accuse commit any one of the following 1. Robbery 2. House breaking by night 3. Set up a fire 4. Theft, mischief or trespass such that death or grievous hurt will be the consequence.", was there an immediate need for personal defence.,,,75
104,When such right extends to causing any harm other than death," If in the exercise of the right of private defence against an assault which reasonably causes the
apprehension of death, the defender be so situated that he cannot effectually exercise that right without
risk of harm to an innocent person, his right of private defence extends to the running of that risk.",,,,,76
105,Commencement and continuance of the right of private defence of property,"The right of
private defence of property commences when a reasonable apprehension of danger to the property
commences.
The right of private defence of property against theft continues till the offender has effected his retreat
with the property or either the assistance of the public authorities is obtained, or the property has been
recovered.
The right of private defence of property against robbery continues as long as the offender causes or
attempts to cause to any person death or hurt or wrongful restraint or as long as the fear of instant death or
of instant hurt or of instant personal restraint continues.
The right of private defence of property against criminal trespass or mischief continues as long as the
offender continues in the commission of criminal trespass or mischief.
The right of private defence of property against house-breaking by night continues as long as the
house-trespass which has been begun by such house-breaking continues.",,,,,77
106,"Right of private defence against deadly assault when there is risk of harm to innocent
person","If in the exercise of the right of private defence against an assault which reasonably causes the
apprehension of death, the defender be so situated that he cannot effectually exercise that right without
risk of harm to an innocent person, his right of private defence extends to the running of that risk.
Illustration
",Was there a risk of death?,Waas the harm to an innocent person a mistake by you?,,,78
107,Abetment of a thing,"First.—Instigates any person to do that thing; or
Secondly.—Engages with one or more other person or persons in any conspiracy for the doing of that
thing, if an act or illegal omission takes place in pursuance of that conspiracy, and in order to the doing of
that thing; or
Thirdly.—Intentionally aids, by any act or illegal omission, the doing of that thing.
Explanation 1.—A person who, by wilful misrepresentation, or by wilful concealment of a material
fact which he is bound to disclose, voluntarily causes or procures, or attempts to cause or procure, a thing
to be done, is said to instigate the doing of that thing.
Illustration
A, a public officer, is authorised by a warrant from a Court of Justice to apprehend Z, B, knowing that fact and also that C is
not Z, wilfully represents to A that C is Z, and thereby intentionally causes A to apprehend C. Here B abets by instigation the
apprehension of C.
Explanation 2.—Whoever, either prior to or at the time of the commission of an act, does anything in
order to facilitate the commission of that act, and thereby facilitates the commission thereof, is said to aid
the doing of that act.",,,,,79
108,Abettor,"A person abets an offence, who abets either the commission of an offence, or the
commission of an act which would be an offence, if committed by a person capable by law of committing
an offence with the same intention or knowledge as that of the abettor.",,,,,80
108A,Abetment in India of offences outside India,"A person abets an offence within the
meaning of this Code who, in 2[India], abets the commission of any act without and beyond 2[India]
which would constitute an offence if committed in 2[India].",Was the accused instigated by somebody?,Is the accused an Indian Citizen?,,,81
109,Punishment of abetment if the act abetted is committed in consequence and where no express provision is made for its punishment,"Whoever abets any offence shall, if the act abetted is
committed in consequence of the abetment, and no express provision is made by this Code for the
punishment of such abetment, be punished with the punishment provided for the offence.
",Was the accused instigated by somebody?,,,,82
