1,2,3,4,5,6,7,num
110,"Punishment of abetment if person abetted does act with different intention from that of
abettor.","Whoever abets the commission of an offence shall, if the person abetted does the act with a
different intention or knowledge from that of the abettor, be punished with the punishment provided for
the offence which would have been committed if the act had been done with the intention or knowledge
of the abettor and with no other.",Was the accused instigated by somebody?,Were the intentions of accused different from the second person's intentions,,,83
111,Liability of abettor when one act abetted and different act done.,"When an Act is abetted
and a different act is done, the abettor is liable for the act done, in the same manner and to the same extent
as if he had directly abetted it:
Provided the act done was a probable consequence of the abetment, and was committed under the
influence of the instigation, or with the aid or in pursuance of the conspiracy which constituted the
abetment.",Was the accused instigated by somebody?,Were the intentions of accused different from the second person's intentions,,,84
112,Abettor when liable to cumulative punishment for act abetted and for act done.,"If the act
for which the abettor is liable under the last preceding section is committed in addition to the act abetted,
and constitute a distinct offence, the abettor is liable to punishment for each of the offences.",Was the accused instigated by somebody?,Were the intentions of accused different from the second person's intentions,,,85
113,"Liability of abettor for an effect caused by the act abetted different from that intended by
the abettor.","When an act is abetted with the intention on the part of the abettor of causing a particular
effect, and an act for which the abettor is liable in consequence of the abetment, causes a different effect
from that intended by the abettor, the abettor is liable for the effect caused, in the same manner and to the
same extent as if he had abetted the act with the intention of causing that effect, provided he knew that the
act abetted was likely to cause that effect.",Was the accused instigated by somebody?,Were the intentions of accused different from the second person's intentions,,,86
151,"Knowingly joining or continuing in assembly of five or more persons after it has been
commanded to disperse.","Whoever knowingly joins or continues in any assembly of five or more
persons likely to cause a disturbance of the public peace, after such assembly has been lawfully
commanded to disperse, shall be punished with imprisonment of either description for a term which may
extend to six months, or with fine, or with both.
Explanation.—If the assembly is an unlawful assembly within the meaning of section 141, the
offender will be punishable under section 145.",Were you in that crowd?,Did you fight in that crowd?,Did you try to obstruct the police process?,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both",129
152,"Assaulting or obstructing public servant when suppressing riot, etc.—","Whoever assaults or threatens to assault, or obstructs or attempts to obstruct, any public servant in the discharge of his duty as such public servant, in endeavouring to disperse an unlawful assembly, or to suppress a riot or affray, or uses, or threatens, or attempts to use criminal force to such public servant, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Were you involved in fights/hooliganism?,Have you tried to stop the work of government servant?/or threatened?,,"shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both",130
202,Intentional omission to give information of offence by person bound to inform,"—Whoever,
knowing or having reason to believe that an offence has been committed, intentionally omits to give any
information respecting that offence which he is legally bound to give, shall be punished with
imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Did the accused intentionally omit the information about the offence committed?,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",191
203,Giving false information respecting an offence committed.—,"Whoever, knowing or having
reason to believe that an offence has been committed, gives any information respecting that offence which
he knows or believes to be false, shall be punished with imprisonment of either description for a term
which may extend to two years, or with fine, or with both.",Did the accused give false information about the offence committed?,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",192
204,Destruction of document to prevent its production as evidence,"Whoever secretes or
destroys any 3
[document and electronic record] which he may be lawfully compelled to produce as
evidence in a Court of Justice, or in any proceeding lawfully held before a public servant, as such, or
obliterates or renders illegible the whole or any part of such 3
[document or electronic record] with the
intention of preventing the same from being produced or used as evidence before such Court or public
servant as aforesaid, or after he shall have been lawfully summoned or required to produce the same for
that purpose, shall be punished with imprisonment of either description for a term which may extend to
two years, or with fine, or with both",Did the accused destroy the document or electronic record which was to be presented as an evidence before the court?,"Did the accused wipe out or render any document or electronic record which was to be presented as an evidence, not clear enough to be read?",,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both",193
205,False personation for purpose of act or proceeding in suit or prosecution,"—Whoever falsely personates another, and in such assumed character makes any admission or statement, or confesses judgment, or causes any process to be issued or becomes bail or security, or does any other act in any suit or criminal prosecution, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.","Did the accused falsely personate another person and make any admission or statement, or confess judgement?",Did the accused falsely personate another person and causes any process to be issued or becomes bail or security?,"Did the accused falsely personate another person and  does any other act in any suit
or criminal prosecution?","shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",194
206,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution,"—Whoever fraudulently removes, conceals, transfers or delivers to any person any property or
any interest therein, intending thereby to prevent that property or interest therein from being taken as a
forfeiture or in satisfaction of a fine, under a sentence which has been pronounced, or which he knows to
be likely to be pronounced, by a Court of Justice or other competent authority, or from being taken in
execution of a decree or order which has been made, or which he knows to be likely to be made by a
Court of Justice in a civil suit, shall be punished with imprisonment of either description for a term which
may extend to two years or with fine, or with both.",Is the property involved prevented from being taken as foefeiture or as a fine under a sentence which has been pronounced or is going to be pronounced by court of justice or from being taken in execution of a decree or order?,"Was the property fraudulently removed, concealed, delivered or transferred to some other person?",,"shall be punished with imprisonment of either description for a term which may extend to two years or with fine, or with both.",195
207,Fraudulent claim to property to prevent its seizure as forfeited or in execution.—,"Whoever
fraudulently accepts, receives or claims any property or any interest therein, knowing that he has no right
or rightful claim to such property or interest, or practices any deception touching any right to any property
or any interest therein, intending thereby to prevent that property or interest therein from being taken as a
forfeiture or in satisfaction of a fine, under a sentence which has been pronounced, or which he knows to
be likely to be pronounced by a Court of Justice or other competent authority, or from being taken in
execution of a decree or order which has been made, or which he knows to be likely to be made by a
Court of Justice in a civil suit, shall be punished with imprisonment of either description for a term which
may extend to two years, or with fine, or with both.
",Is the property involved prevented from being taken as foefeiture or as a fine under a sentence which has been pronounced or is going to be pronounced by court of justice or from being taken in execution of a decree or order?,"Was the property fraudulently accpeted, received or claimed despite of knowing he has no right on the property?",,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both",196
208,Fraudulently suffering decree for sum not due,"Whoever fraudulently causes or suffers a
decree or order to be passed against him at the suit of any person for a sum not due or for a larger sum
than is due to such person or for any property or interest in property to which such person is not entitled,
or fraudulently causes or suffers a decree or order to be executed against him after it has been satisfied, or
for anything in respect of which it has been satisfied, shall be punished with imprisonment of either
description for a term which may extend to two years, or with fine, or with both.",Did the accused have an intention of annoying or injuring the victim?,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",197
209,Dishonesty making false claim in Court,"Whoever fraudulently or dishonestly, or with intent
to injure or annoy any person, makes in a Court of Justice any claim which he knows to be false, shall be
punished with imprisonment of either description for a term which may extend to two years, and shall
also be liable to fine",Did the accused make any false claim in the Court of Justice?,,,"shall be punished with imprisonment of either description for a term which may extend to two years, and shall also be liable to fine.",198
211,False charge of offence made with intent to injure,"Whoever, with intent to cause injury to
any person, institutes or causes to be instituted any criminal proceeding against that person, or falsely
charges any person with having committed an offence, knowing that there is no just or lawful ground for
such proceeding or charge against that person, shall be punished with imprisonment of either description
for a term which may extend to two years, or with fine, or with both;
and if such criminal proceeding be instituted on a false charge of an offence punishable with death,
1
[imprisonment for life], or imprisonment for seven years or upwards, shall be punishable with
imprisonment of either description for a term which may extend to seven years, and shall also be liable to
fine.",Did the accused institute any criminal proceeding or falsely charge the person for an offence he did not commit?,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both; and if such criminal proceeding be instituted on a false charge of an offence punishable with death, 1 [imprisonment for life], or imprisonment for seven years or upwards, shall be punishable with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine",200
213,"Taking gift, etc., to screen an offender from punishment","Whoever accepts or attempts to
obtain, or agrees to accept, any gratification for himself or any other person, or any restitution of property
to himself or any other person, in consideration of his concealing an offence or of his screening any
person from legal punishment for any offence, or of his not proceeding against any person for the purpose
of bringing him to legal punishment,
if a capital offence.—shall, if the offence is punishable with death, be punished with imprisonment
of either description for a term which may extend to seven years, and shall also be liable to fine;
if punishable with imprisonment for life, or with imprisonment.—and if the offence is punishable
with 1
[imprisonment for life], or with imprisonment which may extend to ten years, shall be punished
with imprisonment of either description for a term which may extend to three years, and shall also be
liable to fine;
and if the offence is punishable with imprisonment not extending to ten years, shall be punished with
imprisonment of the description provided for the offence for a term which may extend to one fourth part
of the longest term of imprisonment provided for the offence, or with fine, or with both.",Did the accused accept or agree to accept or attempt to obtain any gift or property from someone to conceal his offence or screen him from legal punishment?,,,"if a capital offence.—shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; if punishable with imprisonment for life, or with imprisonment.—and if the offence is punishable with 3 [imprisonment for life], or with imprisonment which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; and if the offence is punishable with imprisonment not extending to ten years, shall be punished with imprisonment of the description provided for the offence for a term which may extend to one fourth part of the longest term of imprisonment provided for the offence, or with fine, or with both.",202
214,Offering gift or restoration of property in consideration of screening offender,"Whoever
gives or causes, or offers or agrees to give or cause, any gratification to any person, or 2
[restores or causes
the restoration of] any property to any person, in consideration of that person's concealing an offence, or
of his screening any person from legal punishment for any offence, or of his not proceeding against any
person for the purpose of bringing him to legal punishment,
if a capital offence.—shall, if the offence is punishable with death, be punished with imprisonment
of either description for a term which may extend to seven years, and shall also be liable to fine;
if punishable with imprisonment for life, or with imprisonment.—and if the offence is punishable
with 1
[imprisonment for life] or with imprisonment which may extend to ten years, shall be punished with
imprisonment of either description for a term which may extend to three years, and shall also be liable to
fine;
and if the offence is punishable with imprisonment not extending to ten years, shall be punished with
imprisonment of the description provided for the offence for a term which may extend to one-fourth part
of the longest term of imprisonment provided for the offence, or with fine, or with both.",Did the accused offer or agree to offer or give any gifts or property to someone to conceal his offence or screen him from any legal punishment?,,,"if a capital offence.—shall, if the offence is punishable with death, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; if punishable with imprisonment for life, or with imprisonment.—and if the offence is punishable with 3 [imprisonment for life] or with imprisonment which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; and if the offence is punishable with imprisonment not extending to ten years, shall be punished with imprisonment of the description provided for the offence for a term which may extend to one-fourth part of the longest term of imprisonment provided for the offence, or with fine, or with both.",203
216,Harbouring offender who has escaped from custody or whose apprehension has been ordered.,"—Whenever any person convicted of a charged with an offence, being in lawful custody for that
offence, escapes from such custody,or whenever a public servant, in the exercise of the lawful powers of such public servant, orders a
certain person to be apprehended for an offence, whoever, knowing of such escape or order for
apprehension, harbours or conceals that person with the intention of preventing him from being
apprehended, shall be punished in the manner following, that is to say,
if a capital offence.—if the offence for which the person was in custody or is ordered to be
apprehended is punishable with death, he shall be punished with imprisonment of either description for a
term which may extend to seven years, and shall also be liable to fine;
if punishable with imprisonment for life, or with imprisonment.—if the offence is punishable
with 1
[imprisonment for life] or imprisonment for ten years, he shall be punished with imprisonment of
either description for a term which may extend to three years, with or without fine;
and if the offence is punishable with imprisonment which may extend to one year and not to ten
years, he shall be punished with imprisonment of the description provided for the offence for a term
which may extend to one-fourth part of the longest term of the imprisonment provided for such offence,
or with fine, or with both.
2
[“Offence” in this section includes also any act or omission of which a person is alleged to have been
guilty out of 3
[India], which, if he had been guilty of it in 3
[India], would have been punishable as an
offence, and for which he is, under any law relating to extradition, 4
*** or otherwise, liable to be
apprehended or detained in custody in 3
[India], and every such act or omission shall, for the purposes of
this section, be deemed to be punishable as if the accused person had been guilty of it in 3
[India].]
",Did the accused harbour or conceal a person who escaped lawful custody ?,Did the accused harbour or conceal a public servant whose apprehension was ordered?,,"if a capital offence.—if the offence for which the person was in custody or is ordered to be apprehended is punishable with death, he shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; if punishable with imprisonment for life, or with imprisonment.—if the offence is punishable with 3 [imprisonment for life] or imprisonment for ten years, he shall be punished with imprisonment of either description for a term which may extend to three years, with or without fine; and if the offence is punishable with imprisonment which may extend to one year and not to ten years, he shall be punished with imprisonment of the description provided for the offence for a term which may extend to one-fourth part of the longest term of the imprisonment provided for such offence, or with fine, or with both.",205
217,". Public servant disobeying direction of law with intent to save person from punishment or
property from forfeiture.—","Whoever, being a public servant, knowingly disobeys any direction of the
law as to the way in which he is to conduct himself as such public servant, intending thereby to save, or
knowing it to be likely that he will thereby save, any person from legal punishment, or subject him to a
less punishment than that to which he is liable, or with intent to save, or knowing that he is likely thereby
to save, any property from forfeiture or any charge to which it is liable by law, shall be punished with
imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Is the accused a public servant?,Did the public servant disobey law to save a person from legal punishment he was entitled to?,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",208
218,Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture,"Whoever, being a public servant, and being as such public
servant, charged with the preparation of any record or other writing, frames that record or writing in a
manner which he knows to be incorrect, with intent to cause, or knowing it to be likely that he will
thereby cause, loss or injury to the public or to any person, or with intent thereby to save, or knowing it to
be likely that he will thereby save, any person from legal punishment, or with intent to save, or knowingthat he is likely thereby to save, any property from forfeiture or other charge to which it is liable by law,
shall be punished with imprisonment of either description for a term which may extend to three years, or
with fine, or with both",Did the public servant frame incorrect records which caused loss or injury to the public?,Did he do this with an intention to save an offender from legal punishment?,,"shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",209
219,"Public servant in judicial proceeding corruptly making report, etc., contrary to law","Whoever, being a public servant, corruptly or maliciously makes or pronounces in any stage of a judicial
proceeding, any report, order, verdict, or decision which he knows to be contrary to law, shall be punished
with imprisonment of either description for a term which may extend to seven years, or with fine, or with
both.","Did the public servant corruptly make any report,order,verdict or decision against the law during a judicial proceeding?",,,"shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both",210
220,"Commitment for trial or confinement by person having authority who knows that he is
acting contrary to law.—","—Whoever, being in any office which gives him legal authority to commit
persons for trial or to confinement, or to keep persons in confinement, corruptly or maliciously commits
any person for trial or to confinement, or keeps any person in confinement, in the exercise of that
authority knowing that in so doing he is acting contrary to law, shall be punished with imprisonment of
either description for a term which may extend to seven years, or with fine, or with both.",Was the accused legally authorised to commit persons for trial or keep them in confinement?,Did the accused corruptly commit a person for trial or keep him in confinement against the law?,,"shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",211
223,Escape from confinement or custody negligently suffered by public servant,"Whoever,
being a public servant legally bound as such public servant to keep in confinement any person charged
with or convicted of any offence 1
[or lawfully committed to custody], negligently suffers such person to
escape from confinement, shall be punished with simple imprisonment for a term which may extend to
two years, or with fine, or with both.
",Did the person escape from confinement or custody beacuse of negligence of the public servant?,,,"shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both",214
224,. Resistance or obstruction by a person to his lawful apprehension.—,"Whoever intentionally
offers any resistance or illegal obstruction to the lawful apprehension of himself for any offence with
which he is charged or of which he has been convicted, or escapes or attempts to escape from any custody
in which he is lawfully detained for any such offence, shall be punished with imprisonment of either
description for a term which may extend to two years, or with fine, or with both.",Did the accused offer resistance or illegal obstruction to hi lawful apprehension?,Did the accused escape or try to escape from legal custody?,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",215
228,. Intentional insult or interruption to public servant sitting in judicial proceeding.—,"Whoever intentionally offers any insult, or causes any interruption to any public servant, while such public servant is sitting in any stage of a judicial proceeding, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both",Did the accused insult or cause any interrupton to a public servant?,Was the public servant sitting in any stage of a judicial proceeding?,was a public servant harmed,"shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",221
300,Murder,"Except in the cases hereinafter excepted, culpable homicide is murder, if the act by
which the death is caused is done with the intention of causing death, or—
2ndly.—If it is done with the intention of causing such bodily injury as the offender knows to be
likely to cause the death of the person to whom the harm is caused, or—
3rdly.—If it is done with the intention of causing bodily injury to any person and the bodily injury
intended to be inflicted is sufficient in the ordinary course of nature to cause death, or—
4thly.—If the person committing the act knows that it is so imminently dangerous that it must, in all
probability, cause death, or such bodily injury as is likely to cause death, and commits such act without
any excuse for incurring the risk of causing death or such injury as aforesaid.
Illustrations
(a) A shoots Z with the intention of killing him. Z dies in consequence. A commits murder.
(b) A, knowing that Z is labouring under such a disease that a blow is likely to cause his death, strikes him with the intention
of causing bodily injury. Z dies in consequence of the blow. A is guilty of murder, although the blow might not have been
sufficient in the ordinary course of nature to cause the death of a person in a sound state of health. But if A, not knowing that Z is
labouring under any disease, gives him such a blow as would not in the ordinary course of nature kill a person in a sound state of
health, here A, although he may intend to cause bodily injury, is not guilty of murder, if he did not intend to cause death, or such
bodily injury as in the ordinary course of nature would cause death.
(c) A intentionally gives Z a sword-cut or club-wound sufficient to cause the death of a man in the ordinary course of nature.
Z dies in consequence. Here A is guilty of murder, although he may not have intended to cause Z's death.
(d) A without any excuse fires a loaded cannon into a crowd of persons and kills one of them. A is guilty of murder,
although he may not have had a premeditated design to kill any particular individual.
Exception 1.—When culpable homicide is not murder.—Culpable homicide is not murder if the
offender, whilst deprived of the power of self-control by grave and sudden provocation, causes the death
of the person who gave the provocation or causes the death of any other person by mistake or accident.
The above exception is subject to the following provisos:—
First.—That the provocation is not sought or voluntarily provoked by the offender as an excuse for
killing or doing harm to any person.
Secondly.—That the provocation is not given by anything done in obedience to the law, or by a public
servant in the lawful exercise of the powers of such public servant.
Thirdly.—That the provocation is not given by anything done in the lawful exercise of the right of
private defence.Explanation.—Whether the provocation was grave and sudden enough to prevent the offence from
amounting to murder is a question of fact.
Illustrations
(a) A, under the influence of passion excited by a provocation given by Z, intentionally kills Y, Z's child. This is murder,
inasmuch as the provocation was not given by the child, and the death of the child was not caused by accident or misfortune in
doing an act caused by the provocation.
(b) Y gives grave and sudden provocation to A. A, on this provocation, fires a pistol at Y, neither intending nor knowing
himself to be likely to kill Z, who is near him, but out of sight. A kills Z. Here A has not committed murder, but merely culpable
homicide.
(c) A is lawfully arrested by Z, a bailiff. A is excited to sudden and violent passion by the arrest, and kills Z. This is murder,
inasmuch as the provocation was given by a thing done by a public servant in the exercise of his powers.
(d) A appears as a witness before Z, a Magistrate. Z says that he does not believe a word of A's deposition, and that A has
perjured himself. A is moved to sudden passion by these words, and kills Z. This is murder.
(e)A attempts to pull Z's nose. Z, in the exercise of the right of private defence, lays hold of A to prevent him from doing so.
A is moved to sudden and violent passion in consequence, and kills Z. This is murder, inasmuch as the provocation was giving by
a thing done in the exercise of the right of private defence.
(f) Z strikes B. B is by this provocation excited to violent rage. A, a bystander, intending to take advantage of B's rage, and
to cause him to kill Z, puts a knife into B's hand for that purpose. B kills Z with the knife. Here B may have committed only
culpable homicide, but A is guilty of murder.
Exception 2.—Culpable homicide is not murder if the offender in the exercise in good faith of the
right of private defence of person or property, exceeds the power given to him by law and causes the
death of the person against whom he is exercising such right of defence without premeditation, and
without any intention of doing more harm than is necessary for the purpose of such defence.
Illustration
Z attempts to horsewhip A, not in such a manner as to cause grievous hurt to A. A draws out a pistol. Z persists in the
assault. A believing in good faith that he can by no other means prevent himself from being horsewhipped, shoots Z dead. A has
not committed murder, but only culpable homicide.
Exception 3.—Culpable homicide is not murder if the offender, being a public servant or aiding a
public servant acting for the advancement of public justice, exceeds the powers given to him by law, and
causes death by doing an act which he, in good faith, believes to be lawful and necessary for the due
discharge of his duty as such public servant and without ill-will towards the person whose death is
caused.
Exception 4.—Culpable homicide is not murder if it is committed without premeditation in a sudden
fight in the heat of passion upon a sudden quarrel and without the offender's having taken undue
advantage or acted in a cruel or unusual manner.
Explanation.—It is immaterial in such cases which party offers the provocation or commits the first
assault.
Exception 5.—Culpable homicide is not murder when the person whose death is caused, being above
the age of eighteen years, suffers death or takes the risk of death with his own consent.
Illustration
A, by instigation, voluntarily causes Z, a person under eighteen years of age to commit suicide. Here, on account of Z's
youth, he was incapable of giving consent to his own death; A has therefore abetted murder",Did criminal had intenion of killing the Victim?,Did criminal knew that victim had problem in the body by which he/she can be killed?,,"302. Punishment for murder.—Whoever commits murder shall be punished with death or 1 [imprisonment for life], and shall also be liable to fine.",298
301,"Culpable homicide by causing death of person other than person whose death was
intended.","—If a person, by doing anything which he intends or knows to be likely to cause death,
commits culpable homicide by causing the death of any person, whose death he neither intends nor knows
himself to be likely to cause, the culpable homicide committed by the offender is of the description of
which it would have been if he had caused the death of the person whose death he intended or knew
himself to he likely to cause.",Did the accused cause death of some other person instead of the person he intended to cause death of?,,,,299
303,Punishment for murder by life-convict,"Whoever, being under sentence of 1
[imprisonment
for life], commits murder, shall be punished with death.",Is the accused under sentence of imprisonment of life?,,,,301
304,Punishment for culpable homicide not amounting to murder.,"Whoever commits culpable
homicide not amounting to murder, shall be punished with 1
[imprisonment for life], or imprisonment of
either description for a term which may extend to ten years, and shall also be liable to fine, if the act by
which the death is caused is done with the intention of causing death, or of causing such bodily injury as
is likely to cause death;
or with imprisonment of either description for a term which may extend to ten years, or with fine, or
with both, if the act is done with the knowledge that it is likely to cause death, but without any intention
to cause death, or to cause such bodily injury as is likely to cause death.",Did the accused commit culpable homicide but it did not result in murder?,Did the accused have both the knowledge and intention that the commited act would cause death of the person?,Did the accused know that the act is likely to cause death but did not have an intention to cause death?,,302
305,Abetment of suicide of child or insane person,"If any person under eighteen years of age,
any insane person, any delirious person, any idiot, or any person in a state of intoxication, commits
suicide, whoever abets the commission of such suicide, shall be punished with death or 1
[imprisonment
for life], or imprisonment for a term not exceeding ten years, and shall also be liable to fine.
",Did the accused instigate the victim to commit suicide?,Was the victim a person below the age of 18 or insane or intoxicated or in a disturbed state of mind?,,"shall be punished with death or 1 [imprisonment for life], or imprisonment for a term not exceeding ten years, and shall also be liable to fine.",305
306,Abetment of suicide ,"—If any person commits suicide, whoever abets the commission of such
suicide, shall be punished with imprisonment of either description for a term which may extend to ten
years, and shall also be liable to fine",Did the accused instigate the victim to commit suicide?,,,"shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",306
310,Thug,"Whoever, at any time after the passing of this Act, shall have been habitually associated
with any other or others for the purpose of committing robbery or child-stealing by means of or
accompanied with murder, is a thug.",Did the accused murder someone during commiting a robbery or child-stealing?,,,"sec 311(shall be punished with 3[imprisonment for life], and shall also  be liable to fine)",310
