1,2,3,4,5,6,7,num,keyword,
120,Concealing design to commit offence punishable with imprisonment,"Whoever, intending
to facilitate or knowing it to be likely that he will thereby facilitate the commission of an offence
punishable with imprisonment,
voluntarily conceals, by any act or illegal omission, the existence of a design to commit such offence, or
makes any representation which he knows to be false respecting such design,
if offence be committed; if offence be not committed.—shall, if the offence be committed, be
punished with imprisonment of the description provided for the offence, for a term which may extend to
one-fourth, and, if the offence be not committed, to one-eight, of the longest term of such imprisonment,
or with such fine as is provided for the offence, or with both. ",Did the person hide the plan of an offence punishable with imprisonment?,,,,,,"if the offence be committed, be  punished with imprisonment of the description provided for the offence, for a term which may extend to  one-fourth, and, if the offence be not committed, to one-eight, of the longest term of such imprisonment,  or with such fine as is provided for the offence, or with both."
121,"Waging, or attempting to wage war, or abetting waging of war, against the Government of
India.","Whoever wages war against Indian government or attempts to wage such war, or abets
the waging of such war. war, influence, ",Did the accused attempt or abet to wage a war against the government of India?,,,,,"war, influence","shall be punished with death, or 3[imprisonment for life] 4[and shall also be liable  to fine]"
122,"Collecting arms, etc., with intention of waging war against the Government of India.","Whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either
waging or being prepared to wage war against the Indian Government. arms, weapons, war, rally, mobilize",Did the accused collect arms or ammunition to wage a war against the government of India?,,,,,"arms, weapons, war, rally, mobilize","shall be punished with 1
[imprisonment for life] or imprisonment of either description for a term not exceeding ten years, 2
[and
shall also be liable to fine]"
123,Concealing with intent to facilitate design to wage war.—,"Whoever by any act, or by any illegal omission, conceals the existence of a design to wage war against the Inidna government
intending by such concealment to facilitate, or knowing it to be likely that such concealment will
facilitate, the waging of such war, shall be punished with imprisonment of either description for a term
which may extend to ten years, and shall also be liable to fine. war, conceal, hide.",Did the accused hide a plan or design of waging a war against the Government of India?,,,,,"wr, conceal, hide","shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine"
124,"Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any
lawful power.","Whoever, with the intention of inducing or compelling the President of India, Governor of any 
State to exercise or refrain from exercising in any manner any
any of the lawful powers of such President,assaults or wrongfully restrains, or attempts wrongfully to restrain, or overawes, by means of criminal force or the show of criminal force, or attempts so to overawe. ","Did the accused try to assault President, Governor or anyone in power to not exercise their legal powers?",,,,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
125,Waging war against any Asiatic Power in alliance with the Government of India,"Whoever wages war against the Government of any Asiatic Power in alliance or at peace with the Government of India or attempts to wage such war, or abets the waging of such war. ",Did the accused wage a war against any asiatic power in alliance with Government of India?,,,,,,"shall be punished with 1 [imprisonment for life], to which fine may be added, or with imprisonment of either description for a term which may extend to seven years, to which fine may be added, or with fine"
126,Committing depredation on territories of Power at peace with the Government of India,"Whoever commits depredation, or makes preparations to commit depredation, on the territories of any
Power in alliance or at peace with the Government of India",Did the accused attack any territories of power in alliance with Government of India?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of any property used or intended to be used in committing such depredation, or acquired by such depredation."
127,Receiving property taken by war or depredation mentioned in sections 125 and 126.,"Whoever receives any property knowing the same to have been taken in the commission of any of the
offences which may cause war ",Did the accused receive property taken as a result of waging a war against any asiatic power or territories of power in alliance with India?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of the property so received"
128,Public servant voluntarily allowing prisoner of state or war to escape,"Whoever, being a
public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such
prisoner to escape from any place in which such prisoner is confined,",Did the public servant allow the state prisoner or prisoner of war to escape?,,,,,,"shall be punished with 2 [imprisonment for life], or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
129, Public servant negligently suffering such prisoner to escape,"Whoever, being a public
servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner
to escape from any place of confinement in which such prisoner is confined",Did the negligence of the public servant cause the prisoner to escape?,,,,,,"shall be punished with simple imprisonment for a term which may extend to three years, and shall also be liable to fine"
130,"Aiding escape of, rescuing or harbouring such prisoner.","Whoever knowingly aids or assists any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue
any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or offers or attempts to offer any resistance to the recapture of such prisoner. ",Did the person help the prisoner to escape aur help him hide after he has escaped from lawful custody?,,,,,,"shall be punished with 2 [imprisonment for life], or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
131,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty.","Whoever abets the committing of mutiny by an officer, soldier, sailor, airman, Government of India or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, ",Did the person abet commitment of mutiny?,,,,,,"shall be punished with 2 [imprisonment for life], or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
133,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution
of his office.—","Whoever abets an assault by an officer, soldier, sailor or airman, Navy or Air Force of the Government of India , on any superior officer being in the execution of his office.",Did the person abet an assault by an officer or soldier?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
134,"Abetment of such assault, if the assault committed","Whoever abets an assault by an officer,
soldier, sailor or airman,  of the Government of India, on any
superior officer being in the execution of his office. ",Was the abetted assault committed?,,,,,,"be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
135,"Abetment of desertion of soldier, sailor or airman","Whoever, abets the desertion of any officer, soldier, sailor or airman of the Government of India,",Did the person abet the desertion of any officer or soldier?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
136,Harbouring deserter,"Whoever, except as hereinafter excepted, knowing or having reason to believe that an officer, soldier, sailor or airman Government of India, has deserted, harbours such officer, soldier",Dis the person harbour a deserted soldier or officer?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine or with both."
137,Deserter concealed on board merchant vessel through negligence of master,"The master or person in charge of a merchant vessel, on board of which any deserter of the Government of India is concealed though ignorant of such concealment,  if he might have known of such concealment but for some neglect of his duty as such master or person in charge, or but for some want of discipline on board of the
vessel.",Did the master of a merchant vessel hide a deserted officer or soldier?,,,,,,be liable to a penalty not exceeding five hundred rupees
138,"Abetment of act of insubordination by soldier, sailor or airman","Whoever abets what he knows to be an act of insubordination by an officer, soldier, sailor or airman of the Government of India, shall, if such act of insubordination be committed in consequence of that abetment.",Did the person abet an act of insubordination?,,,,,,"be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both"
144,Joining unlawful assembly armed with deadly weapon,"Whoever, being armed with any deadly weapon, or with anything which, used as a weapon of offence, is likely to cause death, is a member of an unlawful assembly. ",Was the person armed with any deadly weapon?,,,,,,"shall be punished with imprisonment of either description for a term  which may extend to two years, or with fine, or with both"
145,"Joining or continuing in unlawful assembly, knowing it has been commanded to disperse.","Whoever joins or continues in an unlawful assembly, knowing that such unlawful assembly
has been commanded in the manner prescribed by law to disperse.",Did the accused continue to be a part of an unlawful assembly which was commanded to disperse by law?,,,,,,"shall be punished with imprisonment  of either description for a term which may extent to two years, or with fine, or with both"
148,"Rioting, armed with deadly weapon","Whoever is guilty of rioting, being armed with a deadly weapon or with anything which, used as a weapon of offence, is likely to cause death          equiped, loaded",Was the person armed with any deadly weapon?,,,,,"equiped, armed, loaded, weapon","shall be punished  with imprisonment of either description for a term which may extend to three years, or with fine, or with  both"
149,"Every member of unlawful assembly guilty of offence committed in prosecution of common
object","If an offence is committed by any member of an unlawful assembly in prosecution of the
common object of that assembly, or such as the members of that assembly knew to be likely to be
committed in prosecution of that object, every person who, at the time of the committing of that offence,
is a member of the same assembly, is guilty of that offence. ","Was the person present at the time when an offence was commited by some member of the unlawful assembly, as a member of that assembly?",,,,,,
150,"Hiring, or conniving at hiring, of persons to join unlawful assembly","Whoever hires or engages, or employs, or promotes, or connives at the hiring, engagement or employment of any person to
join or become a member of any unlawful assembly, shall be punishable as a member of such unlawful assembly, and for any offence which may be committed by any such person as a member of such unlawful assembly in pursuance of such hiring, engagement or employment, in the same manner as if he had been a member of such unlawful assembly, or himself had committed such offence. ",Did the person hire or promote the membership of an unlawful assembly? ,,,,,,
151,"Knowingly joining or continuing in assembly of five or more persons after it has been
commanded to disperse.","Whoever knowingly joins or continues in any assembly of five or more persons likely to cause a disturbance of the public peace, after such assembly has been lawfully commanded to disperse. ",Were you in that crowd?,Did you fight in that crowd?,,,,"disturb, interrupt, public peace","shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both"
152,"Assaulting or obstructing public servant when suppressing riot, etc.—","Whoever assaults or threatens to assault, or obstructs or attempts to obstruct, any public servant in the discharge of his duty as such public servant, in endeavouring to disperse an unlawful assembly, or to suppress a riot or affray, or uses, or threatens, or attempts to use criminal force to such public servant. abuse, assault, resistance, riot, officer, police",Were you involved in fights/hooliganism?,Have you tried to stop the work of government servant?/or threatened?,,,,,"shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both"
153,"Wantonly giving provocation with intent to cause riot—if rioting be committed; if not
committed.—","Whoever malignantly by doing anything which is illegal, gives provocation to any person intending or knowing it to be likely that such provocation will cause the offence of rioting to be committed. rioting, influence",Did the person inhumanely provoke someone which resulted in riots?,,,,,,"be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both; and if the offence of rioting be not committed, with imprisonment of either description for a term which may extend to six months, or with fine, or with both"
154,Owner or occupier of land on which an unlawful assembly is held.—,"Whenever any unlawful assembly or riot takes place, the owner or occupier of the land upon which such unlawful assembly is held, or such riot is committed, and any person having or claiming an interest in such land. riot, property",Was the person owner of the land where the unlawfull assembly or riot took place?,,,,,,
155,Liability of person for whose benefit riot is committed.,"Whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place or who claims any interest in such land, or in the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom. ",Did the person own the land where riot took place or derive any benefit from the riot?,,,,,,shall be punishable with fine
156,Liability of agent of owner or occupier for whose benefit riot is committed.—,"Whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place, or who claims any interest in such land, or in the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom, the agent or manager of such person. ",Was the person an agent of the owner of land where riot took place or in whose interest the riot was executed?,,,,,,
158,Being hired to take part in an unlawful assembly or riot.,"Whoever is engaged, or hired, or
offers or attempts to be hired or engaged, to do or assist in doing any of the acts specified in section 141,
shall be punished with imprisonment of either description for a term which may extend to six months, or
with fine, or with both,
or to go armed.—and whoever, being so engaged or hired as aforesaid, goes armed, or engages or
offers to go armed, with any deadly weapon or with anything which used as a weapon of offence is likely
to cause death, shall be punished with imprisonment of either description for a term which may extend to
two years, or with fine, or with both.",Was the person hired to be a part of the unlawful assembly or riot?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both                                                                                                                                                                                       or to go armed:    shall be punished with imprisonment of either description for a term which may extend to 
two years, or with fine, or with both"
159,Affray,"When two or more persons, by fighting in a public place, disturb the public peace, they
are said to “commit an affray”.",were there two or more people fighting in the public,did the fight disturb the public peace,,,,,"sec 160 (Whoever commits an affray, shall be punished with  imprisonment of either description for a term which may extend to one month, or with fine which may  extend to one hundred rupees, or with both)"
166,"Public servant disobeying law, with intent to cause injury to any person","—Whoever, being a
public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct
himself as such public servant, intending to cause, or knowing it to be likely that he will by such
disobedience, cause injury to any person
",Did the public servant disobey law which caused injury to a person?,,,,,,"shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both"
167, Public servant framing an incorrect document with intent to cause injury,"Whoever, being
a public servant, and being, as 
[such public servant, charged with the preparation or translation of any
document or electronic record, frames, prepares or translates that document or electronic record] in a
manner which he knows or believes to be incorrect, intending thereby to cause or knowing it to be likely
that he may thereby cause injury to any person, ",Did the public servant frame an incorrect document to cause injury to a person?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both"
168,Public servant unlawfully engaging in trade,"Whoever, being a public servant, and being
legally bound as such public servant not to engage in trade, engages in trade,",Was the person involved in trade a public servant?,,,,,,"shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both"
169,Public servant unlawfully buying or bidding for property,"Whoever, being a public servant,
and being legally bound as such public servant, not to purchase or bid for certain property, purchases or
bids for that property, either in his own name or in the name of another, or jointly, or in shares with
others, .
",Did the public servant buy or bid for any property?,,,,,,"shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both; and the property, if purchased, shall be confiscated."
170,Personating a public servant.,"Whoever pretends to hold any particular office as a public
servant, knowing that he does not hold such office or falsely personates any other person holding such
office, and in such assumed character does or attempts to do any act under colour of such office, ",Did the person pretend to be a public servant and exercise any of his powers?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both"
171,Wearing garb or carrying token used by public servant with fraudulent intent.,"—Whoever,
not belonging to a certain class of public servants, wears any garb or carries any token resembling any
garb or token used by that class of public servants, with the intention that it may be believed, or with the
knowledge that it is likely to be believed, that he belongs to that class of public servants, ",Did the person wear any uniform or carry a token fraudulently to impersonate a public servant?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both"
172,Absconding to avoid service of summons or other proceeding,"Whoever absconds in order
to avoid being served with a summons, notice or order proceeding from any public servant legally
competent, as such public servant, to issue such summons, notice or order, ",Did the person escape to avoid receiving summons from any public servant?,,,,,,"shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both; or, if the summons or notice or order is to attend in person or by agent, or to 2 [produce a document or an electronic record in a Court of Justice], with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both"
173,"Preventing service of summons or other proceeding, or preventing publication thereof.","Whoever in any manner intentionally prevents the serving on himself, or on any other person, of any
summons, notice or order proceeding from any public servant legally competent, as such public servant,
to issue such summons, notice or order,
or intentionally prevents the lawful affixing to any place of any such summons, notice or order,
or intentionally removes any such summons, notice or order from any place to which it is lawfully
affixed,
or intentionally prevents the lawful making of any proclamation, under the authority of any public
servant legally competent, as such public servant, to direct such proclamation to be made,
shall be punished with simple imprisonment for a term which may extend to one month, or with fine
which may extend to five hundred rupees, or with both;
or, if the summons, notice, order or proclamation is to attend in person or by agent, or 2
[to produce a
document or electronic record in a Court of Justice] with simple imprisonment for a term which may
extend to six months, or with fine which may extend to one thousand rupees, or with both.
",Did the person prevent himself from a summons or notice?,,,,,,"with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both"
174,Non-attendance in obedience to an order from public servant,"Whoever, being legally
bound to attend in person or by an agent at a certain place and time in obedience to a summons, notice,
order, or proclamation proceeding from any public servant legally competent, as such public servant, to
issue the same,
intentionally omits to attend at that place or time, or departs from the place where he is bound to
attend before the time at which it is lawful for him to depart,
",Did the person fail to show up at a place and time in accordance with a summons or order from a public servant?,,,,,,"shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both; or, if the summons, notice, order or proclamation is to attend in person or by agent in a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both"
175, Omission to produce document to public servant by person legally bound to produce it.—,"Whoever, being legally bound to produce or deliver up any 
[document or electronic record] to any public
servant, as such, intentionally omits so to produce or deliver up the same, ",Did the person fail to present any 4 documents to any public servant he was legally bound to do so?,,,,,,"shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both; or, if the 5 [document or electronic record] is to be produced or delivered up to a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
176,"Omission to give notice or information to public servant by person legally bound to give
it.—","—Whoever, being legally bound to give any notice or to furnish information on any subject to any
public servant, as such, intentionally omits to give such notice or to furnish such information in the
manner and at the time required by law, 
",Did the person fail to give any notice or information to any public servant he was legally bound to do so?,,,,,,"shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both   or, if the notice or information required to be given respects the commission of an offence, or is required 
for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, 
with simple imprisonment for a term which may extend to six months, or with fine which may extend to 
one thousand rupees, or with both;
1
[or, if the notice or information required to be given is required by an order passed under 
sub-section (1) of section 565 of the Code of Criminal Procedure, 1898 (5 of 1898), with imprisonment of 
either description for a term which may extend to six months, or with fine which may extend to one thousand 
rupees, or with both"
177,. Furnishing false information,"Whoever, being legally bound to furnish information on any
subject to any public servant, as such, furnishes, as true, information on the subject which he knows or
has reason to believe to be false ",Did the personn intentionaly convey false information to a public servant he was legally bound to share information with?,,,,,,"shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both; or, if the information which he is legally bound to give respects the commission of an offence, or is required for the purpose of preventing the commission of an offence, or in order to the apprehension of an offender, with imprisonment of either description for a term which may extend to two years, or with fine, or with both"
178, Refusing oath or affirmation when duly required by public servant to make it,"—Whoever
refuses to bind himself by an oath 4
[or affirmation] to state the truth, when required so to bind himself by
a public servant legally competent to require that he shall so bind himself, ",Did the person refuse to take an oath to speak the truth by a public servant?,,,,,,"shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both"
179,Refusing to answer public servant authorised to question,"Whoever, being legally bound to
state the truth on any subject to any public servant, refuses to answer any question demanded of him
touching that subject by such public servant in the exercise of the legal powers of such public servant,
",Did the person refuse to answer a public servant who had the authority to question him?,,,,,,"punished with simple imprisonment for a term which may extend to six months, or with fine  which may extend to one thousand rupees, or with both"
180,Refusing to sign statement.,"Whoever refuses to sign any statement made by him, when
required to sign that statement by a public servant legally competent to require that he shall sign that
statement, 
",Did the person refuse to sign a statement made by himself?,,,,,,"shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both"
181,"False statement on oath or affirmation to public servant or person authorised to
administer an oath or affirmation","Whoever, being legally bound by an oath 4
[or affirmation] to state
the truth on any subject to any public servant or other person authorized by law to administer such oath

[or affirmation], makes, to such public servant or other person as aforesaid, touching that subject, any
statement which is false, and which he either knows or believes to be false or does not believe to be true,
",Did the person make a false staement even after taking an oath to state the truth?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine"
182,"False information, with intent to cause public servant to use his lawful power to the
injury of another person.","Whoever gives to any public servant any information which he knows or
believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause, such
public servant—
(a) to do or omit anything which such public servant ought not to do or omit if the true state of
facts respecting which such information is given were known by him, or
(b) to use the lawful power of such public servant to the injury or annoyance of any person,",Did the person provide false information which led the public servant to injure another person?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both"
183,Resistance to the taking of property by the lawful authority of a public servant.—,"—Whoever
offers any resistance to the taking of any property by the lawful authority of any public servant, knowing
or having reason to believe that he is such public servant, ",Did the person resist to taking away of any property by lawful authority of a public servant?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
184,Obstructing sale of property offered for sale by authority of public servant.—,"Whoever
intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant,
as such, ",Did the person intentionally obstruct the sale of a property offered for sale by a public servant?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both."
185, Illegal purchase or bid for property offered for sale by authority of public servant,"Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or
bids for any property on account of any person, whether himself or any other, whom he knows to be
under a legal incapacity to purchase that property at that sale, or bids for such property not intending to
perform the obligations under which he lays himself by such bidding, ",Did the person try to buy or bid illegally for a property offered to sale by lawful authority of a public servant?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred 
rupees, or with both"
186,Obstructing public servant in discharge of public functions,"Whoever voluntarily obstructs
any public servant in the discharge of his public functions, ",Did the person try to obstruct a public servant from fulfulling his public duties?,,,,,,"shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both."
187,Omission to assist public servant when bound by law to give assistance,"Whoever, being
bound by law to render or furnish assistance to any public servant in the execution of his public duty,
intentionally omits to give such assistance,  or with both;
and if such assistance be demanded of him by a public servant legally competent to make such
demand for the purposes of executing any process lawfully issued by a Court of Justice, or of preventing
the commission of an offence, or suppressing a riot, or affray, or of apprehending a person charged with
or guilty of an offence, or of having escaped from lawful custody",Did the person refuse to assist a public servant in his public duties when he was legally bound to assist him?,,,,,,"shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both"
